// MonsterAutomata.txt
// Id	Description		Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
0
// Dummy AI
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
10	"General->None->General"	0	0	0	0	100	-1	-1	1000
10	"General->Outside->General"	1	0	0	2	100	-1	-1	1000
10	"General->Inside->General"	2	0	0	1	100	-1	-1	1000
// Crywolf general monsters
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
1	"General->None->Move"		0	0	1	0	100	-1	-1	1000
1	"General->Outside->Move"	1	0	1	2	100	-1	-1	1000
1	"General->Inside->Attack"	2	0	2	1	100	-1	-1	1000

1	"Move->Inside->Attack"		0	1	2	1	100	-1	-1	1000
1	"Move->None->Move"		1	1	1	0	100	-1	-1	1000
1	"Move->Outside->Move"		2	1	1	2	100	-1	-1	1000

1	"Attack->None->Move"		0	2	1	0	100	-1	-1	1000
1	"Attack->HP decrease->Avoid"	1	2	4	4	100	-1	10000	1000
1	"Attack->Inside->Attack"	2	2	2	1	100	-1	-1	1000
1	"Attack->Outside->Move"		3	2	1	2	100	-1	-1	1000
1	"Attack->Inside->Attack"	4	2	2	1	100	-1	-1	1000

1	"Avoid->None->General"		0	4	0	0	100	-1	-1	1000
1	"Avoid->AGRO UP->Attack"	1	4	2	7	70	-1	3000	1000
1	"Avoid->Outside->Move"		2	4	1	2	50	-1	-1	1000
1	"Avoid->Inside->Attack"		3	4	2	1	50	-1	-1	1000
1	"Avoid->Inside->Avoid"		4	4	4	1	80	-1	-1	1000
1	"Avoid->HP decrease->Avoid"	5	4	4	4	100	-1	2000	1000
1	"Avoid->HP decrease->Avoid"	6	4	4	4	80	-1	10000	1000
1	"Avoid->Inside->General"	7	4	0	1	100	-1	-1	1000
1	"Avoid->Outside->General"	8	4	0	2	100	-1	-1	1000
// Dark Elf
// Id	Description			Priorit	Curr	Next	Type	Rate	ValType	Val	Delay
2	"General->None->Move"		0	0	1	0	50	-1	-1	1000
2	"General->None->Heal"		1	0	3	0	10	-1	-1	1000
2	"General->None->Summon"		2	0	6	0	100	-1	-1	1000
2	"General->Outside->Move"	3	0	1	2	80	-1	-1	1000
2	"General->Outside->Summon"	4	0	6	2	100	-1	-1	1000
2	"General->Inside->Heal"		5	0	3	1	10	-1	-1	1000
2	"General->Inside->Move"		6	0	1	1	100	-1	-1	1000

2	"Move->Inside->Heal"		0	1	3	1	20	-1	-1	1000
2	"Move->Inside->Attack"		1	1	2	1	30	-1	-1	1000
2	"Move->Inside->Move"		2	1	1	0	100	-1	-1	1000
2	"Move->None->Summon"		3	1	6	0	20	-1	-1	1000
2	"Move->None->Move"		4	1	1	0	100	-1	-1	1000
2	"Move->Outside->Summon"		5	1	6	2	100	-1	-1	1000
2	"Move->Outside->Move"		6	1	1	2	100	-1	-1	1000

2	"Attack->None->Move"		0	2	1	0	100	-1	-1	1000
2	"Attack->HP decrease->Heal"	1	2	3	4	100	-1	10000	1000
2	"Attack->Outside->Move"		2	2	1	2	100	-1	-1	1000
2	"Attack->Inside->Attack"	3	2	2	1	50	-1	-1	1000
2	"Attack->Inside->General"	4	2	0	1	100	-1	-1	1000

2	"Heal->None->General"		0	3	0	0	100	-1	-1	1000
2	"Heal->Outside->General"	1	3	0	2	100	-1	-1	1000
2	"Heal->Inside->General"		2	3	0	1	100	-1	-1	1000

