///////////////////////////////////////////////////////////////////////////////////////////////																		
//	[ Text Version ]	0.0.0.4																
//	[ Test Sever ver ]	-																
//	[ Main Sever ver ]	-																
//	[ Athor ]	이민정																
//	[ Data ]	2008-07-07 04:07 PM																
//	[ 내용 ]	이동 관련 타입 스킬 변경 (라클리온 몬스터)																
///////////////////////////////////////////////////////////////////////////////////////////////																		
// ※ 주의사항																		
// I&Dtype과 I&Dvalue의 경우 아이다&크라이울프와 칸투르가 같은 변수를 다르게 사용하고 있음 																		
// (칸투르의 경우는 문스톤 펜던트의 체크를 위하여 변수가 사용됨)																		
//																		
// I&Dtype : 스킬 요소가 가지는 개별 효과(아이다&크라이울프). 아이템 Type(칸투르)																		
// I&Dvalue: I&Dtype의 속성에 따른 상수값(아이다&크라이울프). 아이템 Index(칸투르)																		
///////////////////////////////////////////////////////////////////////////////////////////////																		
																		
//Index	Name	Type	Rate	Time(sec)	I&Dtype	I&Dvalue(dur)	Magic(Delay)	Class	Level									
0																		
//아이다&크라이울프 공방전																		
1	"스턴1"	0	50	3	-1	-1	-1	0	0									
																		
3	"MP감소"	3	50	10	2	50	-1	0	0									
4	"AG감소"	4	50	10	2	50	-1	0	0									
5	"방어력"	5	90	10	12	50	-1	0	0									
6	"공격력"	6	90	10	12	50	-1	0	0									
7	"밀기"	9	50	10	-1	-1	-1	0	0									
8	"독"	2	30	10	112	10	-1	0	0									
9	"얼음"	1	90	10	12	50	-1	0	0									
																		
11	"내구도"	7	90	10	12	7	-1	0	0									
12	"자생"	2	90	10	101	5	-1	0	0									
13	"치료"	2	90	10	11	50	-1	0	0									
14	"HP감소"	2	90	10	12	100	-1	0	0									
																		
16	"소환"	8	90	10	0	-1	-1	0	0									
17	"방향해제"	14	50	10	0	-1	27	0	0									
																		
22	"공향안걸림"	16	90	10	0	-1	28	0	0									
23	"방향안걸림"	16	90	10	0	-1	28	0	0									
																		
//칸투르 일반몬스터																		
24	"켄타우로스-멀티"	20	100	10	-1	-1	-1	0	0									
25	"페르소나-악령"	20	100	10	-1	-1	-1	0	0									
26	"트윈테일-일반"	20	100	10	-1	-1	-1	0	0									
27	"트윈테일-독"	19	100	10	-1	10	800	0	0									
28	"드레드피어-2회베기"	18	100	10	-1	-1	-1	0	0									
//나이트메어																		
29	"나이트-독"	19	50	10	-1	5	-1	0	0									
30	"나이트-독-일반"	20	100	10	-1	-1	-1	0	0									
31	"나이트-돌개-일반"	20	100	10	-1	-1	-1	0	0									
32	"나이트-화염진-일반"	20	100	10	13	38	-1	0	0									
33	"나이트-화염진-밀기"	9	100	10	-1	3	-1	0	0									
34	"나이트메어-워프"	17	100	3	-1	-1	-1	0	0									
//마야																		
35	"마야의손-프레셔-일반"	20	100	10	-1	-1	-1	0	0									
36	"마야의손-프레셔-밀기"	9	50	10	-1	3	100	0	0									
37	"마야의손-프레셔-내구"	7	20	10	2	10	-1	0	0									
																		
38	"마야의손-파워-일반"	20	100	10	-1	-1	-1	0	0									
																		
39	"마야-아이스스톰-밀기"	9	100	10	-1	-1	-1	0	0									
40	"마야-아이스스톰-일반"	20	100	10	-1	-1	-1	0	0									
																		
41	"마야-브로큰샤워-일반"	20	100	10	-1	-1	-1	0	0									
42	"마야-브로큰샤워-스턴"	0	10	3	-1	-1	-1	0	0									
																		
//라클리온																		
43	"포효"	0	20	2	-1	-1	-1	0	0									
44	"짓밟기"	9	100	0	0	2	-1	0	0									
45	"분노의일격"	20	100	10	-1	-1	-1	0	0									
46	"쿨러틴-독구슬"	19	100	0	-1	10	-1	0	0									
47	"블로우"	18	100	0	0	-1	-1	0	0									
48	"세루판-독구슬"	19	100	0	-1	10	-1	0	0									
49	"세루판-냉기폭풍"	20	100	10	-1	-1	-1	0	0									
50	"세루판-냉기충격"	9	100	0	-1	10	-1	0	0									
51	"세루판-낙하"	9	100	0	-1	4	-1	0	0									
52	"세루판-소환"	8	100	0	-1	-1	-1	0	0									
53	"세루판-치료"	2	100	0	1	5	-1	0	0									
54	"세루판-얼리기"	0	100	5	-1	-1	-1	0	0									
55	"세루판-순간이동"	17	100	0	-1	-1	-1	0	0									
56	"세루판-무적"	21	100	10	11	10000	-1	0	0									
57	"세루판-광폭화"	6	100	-1	11	300	-1	0	0
58    "Medic HP"                2    100    0    1    5     -1    0    0
59    "Shield Defense"          5    90     2    12   50    -1    0    0								
end																		
																		
																		
