18	257	-1
//ID	minlvl	maxlvl	 1 menu		 2 menu		  3menu		DW	DK	ME	MG	DL	SUM
0	1	14	0	1	0	2	-1	-1	1	1	1	1	1	1

3	5	25	0	4	0	8	-1	-1	0	1	0	0	1	0
3	5	25	0	5	0	8	-1	-1	1	0	0	1	0	0
3	5	25	0	6	0	8	-1	-1	0	0	1	0	0	0
3	5	25	0	7	0	8	-1	-1	0	0	0	0	0	1

9	26	35	0	10	0	14	-1	-1	1	1	0	0	0	0
9	26	35	0	11	0	14	-1	-1	0	0	0	1	1	0
9	26	35	0	12	0	14	-1	-1	0	0	1	0	0	0
9	26	35	0	13	0	14	-1	-1	0	0	0	0	0	1

15	36	45	0	16	0	18	-1	-1	1	1	1	0	0	1
15	36	45	0	17	0	18	-1	-1	0	0	0	1	1	0

19	46	55	0	20	0	22	-1	-1	1	1	1	0	0	1
19	46	55	0	21	0	22	-1	-1	0	0	0	1	1	0

23	56	65	0	24	0	26	-1	-1	1	1	1	0	0	1
23	56	65	0	25	0	26	-1	-1	0	0	0	1	1	0

27	66	79	0	28	0	30	-1	-1	1	1	1	0	0	1
27	66	79	0	29	0	30	-1	-1	0	0	0	1	1	0

31	80	90	0	32	0	34	-1	-1	1	1	1	0	0	1
31	80	90	0	33	0	34	-1	-1	0	0	0	1	1	0

35	91	100	0	36	0	38	-1	-1	1	1	1	0	0	1
35	91	100	0	37	0	38	-1	-1	0	0	0	1	1	0

39	101	110	0	40	0	42	-1	-1	1	1	1	0	0	1
39	101	110	0	41	0	42	-1	-1	0	0	0	1	1	0

43	111	120	0	44	0	46	-1	-1	1	1	1	0	0	1
43	111	120	0	45	0	46	-1	-1	0	0	0	1	1	0

47	121	130	0	48	0	50	-1	-1	1	1	1	0	0	1
47	121	130	0	49	0	50	-1	-1	0	0	0	1	1	0

51	131	140	0	52	0	54	-1	-1	1	1	1	0	0	1
51	131	140	0	53	0	54	-1	-1	0	0	0	1	1	0

55	141	160	0	56	0	58	-1	-1	1	1	1	0	0	1
55	141	160	0	57	0	58	-1	-1	0	0	0	1	1	0

59	161	165	0	60	0	62	-1	-1	1	1	1	0	0	1
59	161	165	0	61	0	62	-1	-1	0	0	0	1	1	0

63	166	170	0	64	0	66	-1	-1	1	1	1	0	0	1
63	166	170	0	65	0	66	-1	-1	0	0	0	1	1	0

67	171	179	0	68	0	70	-1	-1	1	1	1	0	0	1
67	171	179	0	69	0	70	-1	-1	0	0	0	1	1	0

71	180	189	0	72	0	74	-1	-1	1	1	1	0	0	1
71	180	189	0	73	0	74	-1	-1	0	0	0	1	1	0

75	190	199	0	76	0	78	-1	-1	1	1	1	0	0	1
75	190	199	0	77	0	78	-1	-1	0	0	0	1	1	0


79	200	209	0	80	0	82	-1	-1	1	1	1	0	0	1
79	200	209	0	81	0	82	-1	-1	0	0	0	1	1	0

83	210	219	0	84	0	86	-1	-1	1	1	1	0	0	1
83	210	219	0	85	0	86	-1	-1	0	0	0	1	1	0

87	220	229	0	88	0	90	-1	-1	1	1	1	0	0	1
87	220	229	0	89	0	90	-1	-1	0	0	0	1	1	0
91	220	229	0	92	0	94	-1	-1	1	1	1	0	0	1
91	220	229	0	93	0	94	-1	-1	0	0	0	1	1	0

95	230	234	0	96	0	98	-1	-1	1	1	1	0	0	1
95	230	234	0	97	0	98	-1	-1	0	0	0	1	1	0
98	230	234	0	100	0	102	-1	-1	1	1	1	0	0	1
98	230	234	0	101	0	102	-1	-1	0	0	0	1	1	0

101	235	239	0	104	0	106	-1	-1	1	1	1	0	0	1
101	235	239	0	105	0	106	-1	-1	0	0	0	1	1	0
104	235	239	0	108	0	110	-1	-1	1	1	1	0	0	1
104	235	239	0	109	0	110	-1	-1	0	0	0	1	1	0

107	240	244	0	112	0	114	-1	-1	1	1	1	0	0	1
107	240	244	0	113	0	114	-1	-1	0	0	0	1	1	0
110	240	244	0	116	0	118	-1	-1	1	1	1	0	0	1
110	240	244	0	117	0	118	-1	-1	0	0	0	1	1	0

113	245	249	0	120	0	122	-1	-1	1	1	1	0	0	1
113	245	249	0	121	0	122	-1	-1	0	0	0	1	1	0
116	245	249	0	124	0	126	-1	-1	1	1	1	0	0	1
116	245	249	0	125	0	126	-1	-1	0	0	0	1	1	0

119	250	254	0	128	0	130	-1	-1	1	1	1	0	0	1
119	250	254	0	129	0	130	-1	-1	0	0	0	1	1	0
122	250	254	0	132	0	134	-1	-1	1	1	1	0	0	1
122	250	254	0	133	0	134	-1	-1	0	0	0	1	1	0

125	254	259	0	136	0	138	-1	-1	1	1	1	0	0	1
125	254	259	0	137	0	138	-1	-1	0	0	0	1	1	0
128	254	259	0	140	0	142	-1	-1	1	1	1	0	0	1
128	254	259	0	141	0	142	-1	-1	0	0	0	1	1	0
end
