//----------------------------------------------------------------
// Product Info
// W Coins Shop
//----------------------------------------------------------------
// G.Id	iGuid	iIndex	iNumber	Price	Dur	UseTime	iType	Level	Skill	Luck	Option	ExOpt	AncOp
// Category 13 Special
284	353	14	169	500	0	0	80	0	0	0	0	0	0
31	53	14	91	500	0	0	80	0	0	0	0	0	0
17	27	13	57	250	0	0	80	0	0	0	0	0	0
18	28	13	58	250	0	0	80	0	0	0	0	0	0
14	24	13	54	250	0	0	80	0	0	0	0	0	0
16	26	13	56	250	0	0	80	0	0	0	0	0	0
15	25	13	55	250	0	0	80	0	0	0	0	0	0
2319	2561	14	53	100	1	0	80	0	0	0	0	0	0
2319	2562	14	53	400	5	0	80	0	0	0	0	0	0
40	66	13	69	50	0	0	80	0	0	0	0	0	0
41	67	13	70	40	0	0	80	5	0	0	0	0	0
69	117	14	112	20	0	0	80	0	0	0	0	0	0
70	118	14	113	60	0	0	80	0	0	0	0	0	0
// Category 14 Accessory
57	93	13	76	100	255	1440	80	0	0	0	0	0	0
57	94	13	76	500	255	10080	80	0	0	0	0	0	0

59	97	13	122	100	0	1440	80	0	0	0	0	0	0
59	98	13	122	500	0	10080	80	0	0	0	0	0	0

71	119	13	107	130	0	1440	80	0	0	0	0	0	0
71	120	13	107	600	0	10080	80	0	0	0	0	0	0

58	95	13	20	100	0	1440	80	0	0	0	0	0	0
58	96	13	20	500	0	10080	80	0	0	0	0	0	0

62	103	13	109	80	0	1440	80	0	0	0	0	0	0
62	104	13	109	400	0	10080	80	0	0	0	0	0	0

63	105	13	110	80	0	1440	80	0	0	0	0	0	0
63	106	13	110	400	0	10080	80	0	0	0	0	0	0

65	109	13	112	80	0	1440	80	0	0	0	0	0	0
65	110	13	112	400	0	10080	80	0	0	0	0	0	0

64	107	13	111	80	0	1440	80	0	0	0	0	0	0
64	108	13	111	400	0	10080	80	0	0	0	0	0	0

66	111	13	113	90	0	1440	80	0	0	0	0	0	0
66	112	13	113	450	0	10080	80	0	0	0	0	0	0

67	113	13	114	90	0	1440	80	0	0	0	0	0	0
67	114	13	114	450	0	10080	80	0	0	0	0	0	0

68	115	13	115	90	0	1440	80	0	0	0	0	0	0
68	116	13	115	450	0	10080	80	0	0	0	0	0	0
// Category 22Buff
1402	1606	13	124	150	0	1440	80	0	0	0	0	0	0
1402	1607	13	124	300	0	4320	80	0	0	0	0	0	0
1402	1608	13	124	600	0	10080	80	0	0	0	0	0	0
1402	1609	13	124	1500	0	302400	80	0	0	0	0	0	0

